"clip_binding_psi_data_filter_class_test_pre"	"is_constitute"	"AUH_intron_down"	"CPSF6_intron_down"	"CSTF2T_intron_down"	"DDX3X_intron_down"	"DDX42_intron_down"	"DGCR8_intron_down"	"EIF4G2_intron_down"	"FAM120A_intron_down"	"FMR1_intron_down"	"FXR1_intron_down"	"FXR2_intron_down"	"GNL3_intron_down"	"GTF2F1_intron_down"	"HNRNPA1_intron_down"	"HNRNPK_intron_down"	"HNRNPM_intron_down"	"HNRNPU_intron_down"	"HNRNPUL1_intron_down"	"IGF2BP1_intron_down"	"IGF2BP2_intron_down"	"ILF3_intron_down"	"KHDRBS1_intron_down"	"KHSRP_intron_down"	"LARP7_intron_down"	"LIN28B_intron_down"	"LSM11_intron_down"	"NONO_intron_down"	"NPM1_intron_down"	"PRPF8_intron_down"	"PTBP1_intron_down"	"RBM22_intron_down"	"RBM27_intron_down"	"SAFB2_intron_down"	"SBDS_intron_down"	"SLBP_intron_down"	"SLTM_intron_down"	"SMNDC1_intron_down"	"SND1_intron_down"	"SRSF1_intron_down"	"TAF15_intron_down"	"TARDBP_intron_down"	"TNRC6A_intron_down"	"TRA2A_intron_down"	"TROVE2_intron_down"	"U2AF1_intron_down"	"U2AF2_intron_down"	"XRN2_intron_down"	"YWHAG_intron_down"	"AUH_intron_up"	"CPSF6_intron_up"	"CSTF2T_intron_up"	"DDX3X_intron_up"	"DDX42_intron_up"	"DGCR8_intron_up"	"EIF4G2_intron_up"	"FAM120A_intron_up"	"FMR1_intron_up"	"FXR1_intron_up"	"FXR2_intron_up"	"GNL3_intron_up"	"GTF2F1_intron_up"	"HNRNPA1_intron_up"	"HNRNPK_intron_up"	"HNRNPM_intron_up"	"HNRNPU_intron_up"	"HNRNPUL1_intron_up"	"IGF2BP1_intron_up"	"IGF2BP2_intron_up"	"ILF3_intron_up"	"KHDRBS1_intron_up"	"KHSRP_intron_up"	"LARP7_intron_up"	"LIN28B_intron_up"	"LSM11_intron_up"	"NONO_intron_up"	"NPM1_intron_up"	"PRPF8_intron_up"	"PTBP1_intron_up"	"RBM22_intron_up"	"RBM27_intron_up"	"SAFB2_intron_up"	"SBDS_intron_up"	"SLBP_intron_up"	"SLTM_intron_up"	"SMNDC1_intron_up"	"SND1_intron_up"	"SRSF1_intron_up"	"TAF15_intron_up"	"TARDBP_intron_up"	"TNRC6A_intron_up"	"TRA2A_intron_up"	"TROVE2_intron_up"	"U2AF1_intron_up"	"U2AF2_intron_up"	"XRN2_intron_up"	"YWHAG_intron_up"	"AUH_exon"	"CPSF6_exon"	"CSTF2T_exon"	"DDX3X_exon"	"DDX42_exon"	"DGCR8_exon"	"EIF4G2_exon"	"FAM120A_exon"	"FMR1_exon"	"FXR1_exon"	"FXR2_exon"	"GNL3_exon"	"GTF2F1_exon"	"HNRNPA1_exon"	"HNRNPK_exon"	"HNRNPM_exon"	"HNRNPU_exon"	"HNRNPUL1_exon"	"IGF2BP1_exon"	"IGF2BP2_exon"	"ILF3_exon"	"KHDRBS1_exon"	"KHSRP_exon"	"LARP7_exon"	"LIN28B_exon"	"LSM11_exon"	"NONO_exon"	"NPM1_exon"	"PRPF8_exon"	"PTBP1_exon"	"RBM22_exon"	"RBM27_exon"	"SAFB2_exon"	"SBDS_exon"	"SLBP_exon"	"SLTM_exon"	"SMNDC1_exon"	"SND1_exon"	"SRSF1_exon"	"TAF15_exon"	"TARDBP_exon"	"TNRC6A_exon"	"TRA2A_exon"	"TROVE2_exon"	"U2AF1_exon"	"U2AF2_exon"	"XRN2_exon"	"YWHAG_exon"
2.22044604925031e-16	FALSE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	2	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	3	1	2	0	1	0	2	6	1	0	0	0	5	1	0	0	1	0	0	0	0	0	0	2	0	4	0	1	0	0	1	0	4	0	1	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	7	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	3	0	0	0	2	0	1	1	0	0
1	TRUE	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3	2	0	0	0	0	0	0	0	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0
2.22044604925031e-16	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1	TRUE	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	2	1	3	0	0	1	1	2	18	5	3	0	0	0	2	2	6	0	1	0	0	1	0	14	2	1	0	1	3	0	3	0	2	5	1	0	0	1	4	7	0	0	0	1	0	0	1	0	2	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	2	2	1	0
2.22044604925031e-16	FALSE	0	0	0	2	2	0	0	4	3	1	2	4	2	4	0	2	0	0	4	4	0	1	0	0	4	6	0	2	3	2	4	0	0	2	0	0	0	4	4	2	2	0	2	4	2	5	0	2	0	0	0	2	0	0	0	4	0	1	0	2	0	0	0	0	0	0	3	4	0	0	4	0	4	3	0	1	0	0	0	0	0	0	0	0	0	2	1	0	5	0	1	2	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
2.22044604925031e-16	FALSE	0	2	0	0	1	2	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	1	0	2	0	1	1	4	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	1	0	2	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	2	0	1	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
2.22044604925031e-16	FALSE	0	2	5	2	2	1	1	0	0	0	0	1	5	16	0	5	13	3	0	0	2	7	2	0	1	0	0	2	1	0	0	0	4	0	0	1	3	0	0	8	0	0	0	3	1	6	1	1	0	0	2	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	3	1	0	1	0	0	0	3	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
1	TRUE	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	2	3	2	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	2	0	1	0	4	1	1	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1
1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	2	2	2	0
1	TRUE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	1	0	1	2	1	7	0	0	0	0	0	0	9	0	1	0	0	0	2	0	2	0	0	0	1	2	0	0	0	0	1	0	2	0	2	4	0	1	0	1	0	3	0	0	0	0	2	2	1	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	1	3	0	0	0	0	0
2.22044604925031e-16	FALSE	0	2	1	0	0	0	2	1	1	1	1	1	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	3	4	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	4	0	2	0	0	0	0	2	0	0	1	0	0	0	0	2	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
1	TRUE	3	4	4	4	2	4	3	4	1	6	2	5	4	5	4	5	1	5	5	2	4	4	7	4	4	4	4	4	4	6	6	4	3	4	4	4	15	5	4	3	10	4	7	4	6	6	4	5	4	5	2	4	1	4	4	4	0	4	3	5	4	3	3	2	0	12	0	2	8	7	7	4	4	4	5	4	2	5	5	4	0	4	4	5	16	4	4	4	4	4	5	4	4	5	4	4	0	1	0	0	1	0	0	2	2	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0
2.22044604925031e-16	FALSE	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	1	0	0	3	0	11	0	0	0	1	1	3	0	1	0	0	0	0	0	0	1	2	1	0	0	0	5	1	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
2.22044604925031e-16	FALSE	0	1	0	0	1	1	2	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	7	0	0	0	5	0	2	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	TRUE	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	4	2	3	1	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2.22044604925031e-16	FALSE	0	0	0	2	0	0	1	0	1	0	2	0	0	2	0	1	0	0	1	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
2.22044604925031e-16	FALSE	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	2	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	0	2	2	0	0	0	1	0	0	0	0	3	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	2	2	2	0	2	0	0	2	2	0	0	0	1	2	0	0	0	1	0	3	2	0	0	0	0	0	2	1	4	0	0	1	0	0	0	1	0	0	0	8	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	15	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	3	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
2.22044604925031e-16	FALSE	3	0	0	0	3	1	1	1	0	2	0	0	3	1	2	0	0	0	0	0	0	3	4	0	2	0	1	2	0	1	0	0	1	0	0	4	0	1	2	1	5	2	0	2	5	7	3	0	5	3	0	0	6	0	1	1	2	0	2	1	2	10	2	2	3	0	0	0	3	2	17	3	6	1	1	5	6	1	4	1	2	1	2	5	3	1	3	2	2	0	5	5	14	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2.22044604925031e-16	FALSE	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	2	0	0	0	2	1	4	0	0	1	0	0	3	0	1	0	0	0	0	3	2	2	2	0	1	0	2	0	0	0	0	0	0	2	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
2.22044604925031e-16	FALSE	0	0	0	1	0	0	0	1	1	0	0	0	1	0	2	0	1	0	0	1	0	1	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	1	1	0	1	1	0	2	1	0	0
2.22044604925031e-16	FALSE	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	1	0	0	0	2	0	0	3	1	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
1	TRUE	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	4	0	1	0	2	2	1	2	1	1	3	1	1	2	0	0	2	0	0	0	0	0	1	11	0	1	0	0	0	0	11	0	3	0	1	2	0	0	2	0	0	0	1	1	2	0	0	0	1	0	0	0	3	4	3	3	0	2	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	2	0	0	0	0	1	0	1	1	0	0	0	2	1	1	0	5	0	2	0	2	3	0	3
1	FALSE	0	0	5	1	0	0	0	0	2	2	0	0	1	8	0	0	2	2	0	0	2	4	0	0	0	3	1	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	4	0	2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	4	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	2	2	2	0	0	1	0	2	1	2	0	0	3	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	2	1	0	1	0	0	1	1	1	1	0	1	0	2	1	2	2	0	0	0	2	0	2	0	0	2	0	1	1	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	TRUE	0	0	0	0	1	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	1	0	1	2	2	0	2	2	0	0	0	0	2	1	3	0	2	0	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
2.22044604925031e-16	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0
1	TRUE	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4	8	0	0	0	1	0	0	0	0	3	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	4	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	FALSE	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
1	TRUE	0	0	0	3	1	1	0	0	0	0	0	3	0	3	3	0	0	0	0	0	0	1	0	0	0	0	0	4	0	11	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	3	1	0	0	0	0	4	0	1	0	0	2	1	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	2	0	0	0	0	2	2	0	2	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.22044604925031e-16	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
